"ID","pagina_ruta","seccion","nombre_accesible","tipo","rol_requerido","precondicion","accion_ejecutada","resultado_esperado","efecto_UI","efecto_API_BD","persistencia_esperada","viewport_probado","navegador","estado","bug","evidencia"
"UI-001","/login","sesion","perfil Marcos Bellomo","boton","QA mock","mock opt-in","clic","entrar como admin mock identificado","dashboard visible con banner mock","ninguno","localStorage demo","1280x720;393x851","Chrome/Playwright","PASS","EP-QA-006","Playwright desktop+mobile"
"UI-002","/login","sesion","perfiles mock restantes","botones","QA mock","mock opt-in","clic Valentina durante charter","entrar con rol elegido","dashboard asesor y nav limitada","ninguno","localStorage demo","1365x768","Chrome/CUA","PASS","EP-QA-015","charter asesor"
"UI-003","/login","sesion","Email","input","anónimo","modo API","entrada sintética local","aceptar email y asociar label","campo editable","login API","sesión server","desktop;mobile","Chrome/Playwright","PASS","","E2E API aislado: campo completado y login 200"
"UI-004","/login","sesion","Contraseña","input","anónimo","modo API","revisión sin secreto","no exponer password ni autocompletar demo","campo vacío","login API","nunca localStorage","1280x720","Chrome","PASS","EP-QA-006","source+unit gate"
"UI-005","/login","sesion","Ingresar con EverProp API","submit","anónimo","backend QA aislado","submit con credencial sintética efímera","login y redirect","dashboard autenticado","csrf+POST login","cookie server","desktop;mobile","Chrome/Playwright","PASS","EP-QA-002","E2E API aislado 200; live 401 anónimo esperado"
"UI-006","/admin/leads","guard","acceso directo sin sesión","navegación","anónimo","contexto limpio","goto","redirigir /login","login visible","ninguno","ninguna","1280x720;393x851","Chrome/Playwright","PASS","","Playwright 2 proyectos"
"UI-007","/admin","sesion","Cerrar sesión","boton","autenticado","mock login","clic desktop y menú mobile","vaciar sesión y volver a login","login visible","logout API sólo en API","sesión eliminada","1280x720;393x851","Chrome/Playwright","PASS","","Playwright"
"UI-008","/admin","sesion","back/forward post logout","teclado/navegación","autenticado","logout API","goBack después de logout","no restaurar panel","guard redirige a login","POST logout 204 + guard","sin sesión","desktop;mobile","Chrome/Playwright","PASS","","E2E API productivo local 2/2"
"UI-009","/admin","sidebar","Dashboard","link","autenticado","sesión mock","clic","abrir dashboard","ruta/estado activo","lecturas según modo","sesión","1365x768","Chrome/CUA","PASS","","charter admin"
"UI-010","/admin","sidebar","Proyectos","link","autenticado","sesión mock","clic","abrir desarrollos","/admin/desarrollos","GET projects en API","N/A","1280x720;393x851","Chrome/Playwright+CUA","PASS","","Playwright rutas"
